"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 01:18:09 GMT 2023","Sat May 13 01:18:09 GMT 2023","358","","reqres.TestReqres","","reqres.TestReqres","successUpdateUser","successUpdateUser(String, String, String) [2] 1, Anton, doctor",""
"failed","Sat May 13 01:18:07 GMT 2023","Sat May 13 01:18:07 GMT 2023","328","","reqres.TestReqres","","reqres.TestReqres","unsuccessUpdateUser","unsuccessUpdateUser(String, String, String) [3] 24234, null, null",""
"failed","Sat May 13 01:18:06 GMT 2023","Sat May 13 01:18:07 GMT 2023","335","","reqres.TestReqres","","reqres.TestReqres","unsuccessUpdateUser","unsuccessUpdateUser(String, String, String) [2] 5353, null, null",""
"failed","Sat May 13 01:18:08 GMT 2023","Sat May 13 01:18:08 GMT 2023","325","","reqres.TestReqres","","reqres.TestReqres","unsuccessDeleteUser","unsuccessDeleteUser(String) [1] ddd",""
"passed","Sat May 13 01:18:04 GMT 2023","Sat May 13 01:18:04 GMT 2023","360","","reqres.TestReqres","","reqres.TestReqres","unsuccessRegisterUser","unsuccessRegisterUser(String, String) [3] kirill.kirillov@reqres.in, 3454",""
"failed","Sat May 13 01:18:06 GMT 2023","Sat May 13 01:18:06 GMT 2023","391","","reqres.TestReqres","","reqres.TestReqres","unsuccessUpdateUser","unsuccessUpdateUser(String, String, String) [1] 46366, null, null",""
"passed","Sat May 13 01:18:09 GMT 2023","Sat May 13 01:18:09 GMT 2023","356","","reqres.TestReqres","","reqres.TestReqres","successUpdateUser","successUpdateUser(String, String, String) [3] 3, Ivan, driver",""
"passed","Sat May 13 01:18:07 GMT 2023","Sat May 13 01:18:08 GMT 2023","340","","reqres.TestReqres","","reqres.TestReqres","successDeleteUser","successDeleteUser(String) [2] 2",""
"passed","Sat May 13 01:18:10 GMT 2023","Sat May 13 01:18:10 GMT 2023","346","","reqres.TestReqres","","reqres.TestReqres","successRegisterUser","successRegisterUser(String, String) [1] eve.holt@reqres.in, pistol",""
"passed","Sat May 13 01:17:58 GMT 2023","Sat May 13 01:18:03 GMT 2023","5491","","reqres.TestReqres","","reqres.TestReqres","unsuccessRegisterUser","unsuccessRegisterUser(String, String) [1] ivan.ivanov@reqres.in, 3244",""
"passed","Sat May 13 01:18:05 GMT 2023","Sat May 13 01:18:05 GMT 2023","344","","reqres.TestReqres","","reqres.TestReqres","unsuccessCheckUserBody","unsuccessCheckUserBody(String) [2] 44",""
"passed","Sat May 13 01:18:08 GMT 2023","Sat May 13 01:18:09 GMT 2023","366","","reqres.TestReqres","","reqres.TestReqres","successUpdateUser","successUpdateUser(String, String, String) [1] 2, morpheus, zion resident",""
"passed","Sat May 13 01:18:10 GMT 2023","Sat May 13 01:18:11 GMT 2023","356","","reqres.TestReqres","","reqres.TestReqres","successRegisterUser","successRegisterUser(String, String) [3] janet.weaver@reqres.in, 8374",""
"passed","Sat May 13 01:18:03 GMT 2023","Sat May 13 01:18:04 GMT 2023","389","","reqres.TestReqres","","reqres.TestReqres","unsuccessRegisterUser","unsuccessRegisterUser(String, String) [2] anton.antonov@reqres.in, 5678",""
"passed","Sat May 13 01:18:06 GMT 2023","Sat May 13 01:18:06 GMT 2023","98","","reqres.TestReqres","","reqres.TestReqres","successCheckUserAvatar","successCheckUserAvatar(String) [2] 2",""
"passed","Sat May 13 01:18:10 GMT 2023","Sat May 13 01:18:10 GMT 2023","359","","reqres.TestReqres","","reqres.TestReqres","successRegisterUser","successRegisterUser(String, String) [2] george.bluth@reqres.in, pistol",""
"failed","Sat May 13 01:18:08 GMT 2023","Sat May 13 01:18:08 GMT 2023","311","","reqres.TestReqres","","reqres.TestReqres","unsuccessDeleteUser","unsuccessDeleteUser(String) [2] dddd",""
"passed","Sat May 13 01:18:04 GMT 2023","Sat May 13 01:18:05 GMT 2023","366","","reqres.TestReqres","","reqres.TestReqres","unsuccessRegisterUser","unsuccessRegisterUser(String, String) [4] tom.tom@reqres.in, 3432",""
"passed","Sat May 13 01:18:05 GMT 2023","Sat May 13 01:18:05 GMT 2023","349","","reqres.TestReqres","","reqres.TestReqres","unsuccessCheckUserBody","unsuccessCheckUserBody(String) [1] 55",""
"passed","Sat May 13 01:18:07 GMT 2023","Sat May 13 01:18:07 GMT 2023","334","","reqres.TestReqres","","reqres.TestReqres","successDeleteUser","successDeleteUser(String) [1] 1",""
"passed","Sat May 13 01:18:09 GMT 2023","Sat May 13 01:18:10 GMT 2023","341","","reqres.TestReqres","","reqres.TestReqres","successUpdateUser","successUpdateUser(String, String, String) [4] 4, Kirill, programmer",""
"passed","Sat May 13 01:18:05 GMT 2023","Sat May 13 01:18:06 GMT 2023","410","","reqres.TestReqres","","reqres.TestReqres","successCheckUserAvatar","successCheckUserAvatar(String) [1] 1",""
"passed","Sat May 13 01:18:11 GMT 2023","Sat May 13 01:18:11 GMT 2023","363","","reqres.TestReqres","","reqres.TestReqres","successRegisterUser","successRegisterUser(String, String) [4] emma.wong@reqres.in, 4395",""
